Job Title,Company Name,Job Location,Skills Required,Date Posted
Business Analyst,Cloud Continuum  ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst · Business Analysis · Business Analyst · Communication skills · analytical · Project Management,25 days ago

Credit Reporting & Data Analyst,Mantrac ,"Cairo, Egypt",Full TimeOn-siteExperienced · 2 - 5 Yrs of Exp · Accounting/Finance · Accounting · receivable accounting · Reporting Analysis · Credit Analysis · Microsoft Power BI · Finance,27 days ago

Data Analyst,BTCEgypt Gold ,"Cairo, Egypt",Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · Analyst/Research · analytical · Analysis · Data · Data Analysis · Data Analyst,2 months ago

Business Analyst,Syad Tech ,"Cairo, Egypt",Full TimeRemoteExperienced · 3 - 5 Yrs of Exp · Analyst/Research · Analysis · Business Analysis · Data Management · Development · IT · Information Technology (IT) · Management · Reporting,2 months ago

Financial Analyst  Al Shorouk Hospital,Cleopatra Hospitals Group ,"Mohandessin, Giza, Egypt",Full TimeOn-siteEntry Level · 2 - 3 Yrs of Exp · Medical/Healthcare · Accounting · Financial Analysis · Healthcare,2 months ago

Accountant Business Analyst,UNIVERSAL GROUP SHIPPING & CUSTOMER SERV. ,"Sheraton, Cairo, Egypt",Full TimeOn-siteExperienced · 6 - 20 Yrs of Exp · Accounting/Finance · Analysis · Accounting · Communication skills · Finance · Data,29 days ago

Senior Investment Analyst,Al Ahly Medical Company ,"Giza, Giza, Egypt",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Accounting/Finance · Medical/Healthcare · Analyst/Research · Accounting · analytical · Analysis · Business Analysis · Computer Science · Finance · Financial,2 months ago

Financial Analyst,Argaam ,"Mohandessin, Giza, Egypt",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · Business Development · Analyst/Research · business · Financial Analysis · Business Development · Analysis · Financial Services,29 days ago

Sales Admin & Analyst,ICONIC FMCG  ,"New Cairo, Cairo, Egypt",Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Administration · Sales/Retail · MS Excel · MS Office · sales administrator · Sales · Business Administration · Sales Target · Sales Support,1 month ago

Data Analyst,Bayut.com ,"Riyadh, Saudi Arabia",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,1 month ago

"Business Analyst Expert, SAP REFX",IGIGroup ,"Sheikh Zayed, Giza, Egypt",Full TimeOn-siteExperienced · 4 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Analysis · Analyst · Computer Science · ERP · Implementation · Project Management · SAP · Management,1 month ago

Financial Analyst,Qardy ,"Mohandessin, Giza, Egypt",Full TimeOn-siteExperienced · 2 - 4 Yrs of Exp · Accounting/Finance · Analysis · Accounting · Communication skills · Finance · Financial Analysis,1 month ago

Data Analyst,Noon  The Social Learning Platform ,"Riyadh, Saudi Arabia",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,4 days ago

Network Data Analyst,Ookla ,"Riyadh, Saudi Arabia",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel,4 days ago

Data Analyst (0 Experience Required),Peroptyx ,"Riyadh, Saudi Arabia",Freelance / ProjectEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,5 days ago

Data Entry Analyst / Fulltime (Remote),ScoutMine ,"Makkah, Saudi Arabia",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · Administration · CSS · HTML · ISTQB,5 days ago

Data Entry Analyst  Fulltime (Remote),ScoutMine ,"Dubai, United Arab Emirates",Full TimeNot specified · Administration · IT/Software Development · Analyst/Research · Data Entry · Administration · Microsoft Office · Data Analysis · Admin · Analysis · Microsoft Excel,5 days ago

Fulltime Data Entry Analyst (Remote),ScoutMine ,"Dubai, United Arab Emirates",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Engineering · Information Technology (IT) · Administration · CSS · HTML · ISTQB,5 days ago

Data Entry Analyst (Remote),ScoutMine ,"Riyadh, Saudi Arabia",Full TimeNot specified · Administration · IT/Software Development · Analyst/Research · Data Entry · Administration · Microsoft Office · Data Analysis · Admin · Analysis · Microsoft Excel,8 days ago

Data Entry Analyst  Entry level (Remote),ScoutMine ,"Dubai, United Arab Emirates",Full TimeNot specified · Administration · IT/Software Development · Analyst/Research · Data Entry · Administration · Microsoft Office · Data Analysis · Admin · Analysis · Microsoft Excel,9 days ago

Entrylevel Data Entry Analyst (Remote),ScoutMine ,"Makkah, Saudi Arabia",Full TimeNot specified · Administration · Customer Service/Support · Writing/Editorial · Data Entry · Administration · Microsoft Office · Admin · Typing · Customer Service · Microsoft Excel,10 days ago

